place_id,place_name,place_description,category,city,price,rating,combined
1,Taman Nasional Gunung Leuser,"Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.","Budaya,Taman Nasional",Aceh,"Rp25,000",4.5,budayataman nasional taman nasional gunung leuser adalah salah satu dari enam taman nasional yang terletak di pulau sumatera indonesia taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik termasuk spesies langka seperti orangutan sumatera harimau sumatera dan gajah sumatera aceh
2,Desa Wisata Munduk,"Desa Wisata Munduk adalah sebuah desa di pegunungan Bali yang terkenal dengan keindahan alamnya. Desa ini dikelilingi oleh perkebunan kopi, kakao, dan rempah-rempah, serta memiliki udara segar dan pemandangan yang menakjubkan. Di Desa Wisata Munduk, pengunjung dapat menikmati keindahan alam, trekking, melihat air terjun, dan menjelajahi kehidupan desa yang tenang.",Desa Wisata,Bali,"Rp10,000",4.5,desa wisata desa wisata munduk adalah sebuah desa di pegunungan bali yang terkenal dengan keindahan alamnya desa ini dikelilingi oleh perkebunan kopi kakao dan rempahrempah serta memiliki udara segar dan pemandangan yang menakjubkan di desa wisata munduk pengunjung dapat menikmati keindahan alam trekking melihat air terjun dan menjelajahi kehidupan desa yang tenang bali
3,Desa Wisata Penglipuran,"Desa Wisata Penglipuran adalah sebuah desa wisata yang terletak di Kabupaten Bangli, Bali, Indonesia. Desa ini terkenal karena keindahan arsitektur tradisional Bali dan kelestariannya yang terjaga dengan baik. Penglipuran sering dijuluki sebagai ""desa adat Bali yang terbersih"" karena kepedulian warganya terhadap kebersihan dan kerapian desa.","Budaya,Desa Wisata",Bali,"Rp25,000",4.8,budayadesa wisata desa wisata penglipuran adalah sebuah desa wisata yang terletak di kabupaten bangli bali indonesia desa ini terkenal karena keindahan arsitektur tradisional bali dan kelestariannya yang terjaga dengan baik penglipuran sering dijuluki sebagai desa adat bali yang terbersih karena kepedulian warganya terhadap kebersihan dan kerapian desa bali
4,Taman Nasional Bali Barat,"Taman Nasional Bali Barat adalah kawasan konservasi alam yang terletak di pesisir barat Pulau Bali. Taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis, pegunungan, dan ekosistem pesisir. Kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi, seperti banteng Bali, kijang, dan burung Jalak Bali.","Taman Nasional,Cagar Alam",Bali,"Rp15,000",4.5,taman nasionalcagar alam taman nasional bali barat adalah kawasan konservasi alam yang terletak di pesisir barat pulau bali taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis pegunungan dan ekosistem pesisir kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi seperti banteng bali kijang dan burung jalak bali bali
5,Bukit Jamur,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan â€“ jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",Cagar Alam,Bandung,"Rp12,000",4.2,cagar alam bukit jamur ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di kecamatan ciwidey kabupaten bandung provinsi jawa barat bukit jamur ciwidey memang memiliki khas wisata ciwidey yaitu objek wisata di tengah hamparan kebun teh dengan udara yang sangat sejuksuasana saat kabut turun di area perkebunan membuat suasana menjadi romatis bukit jamur ciwidey suasananya cocok juga bagi jomblowan  jomblowati banyak spot dengan latar alam yang indah yang dimungkinkan mampu melupakan sang mantan bandung
6,Bukit Moko,"Bandung sebagai destinasi wisata tak pernah ada habisnya. Didukung dengan lanskap yang cantik, kawasan Bandung mampu menarik perhatian wisatawan. Baik dari segi alam, budaya, kuliner, dan seni kreatif secara bersamaan. Dari sekian banyak tempat wisata yang tersedia, Bukit Moko Bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan. Berada di ketinggian sekitar 1500 mdpl, Bukit Moko memiliki cuaca yang sejuk. Bagi pengunjung yang tidak biasa di cuaca ini, ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan.",Cagar Alam,Bandung,"Rp25,000",4.5,cagar alam bandung sebagai destinasi wisata tak pernah ada habisnya didukung dengan lanskap yang cantik kawasan bandung mampu menarik perhatian wisatawan baik dari segi alam budaya kuliner dan seni kreatif secara bersamaan dari sekian banyak tempat wisata yang tersedia bukit moko bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan berada di ketinggian sekitar 1500 mdpl bukit moko memiliki cuaca yang sejuk bagi pengunjung yang tidak biasa di cuaca ini ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan bandung
7,Curug Bugbrug,"Curug Bugbrug Sesuai dengan namanya kata Bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih. Jadi apabila Anda ditanya kenapa air terjun di bandung ini dinamai Curug Bugbrug Maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuk-tumpuk. Dan jatuhnya tersebut terdengar suara di dasar curug seperti â€ brugâ€¦brugâ€¦brug â€ begitu saking kerasnya. Curug yang berada di ketinggian 1.050 meter di atas permukaan air laut, memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter. Tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung.",Cagar Alam,Bandung,"Rp7,500",4.3,cagar alam curug bugbrug sesuai dengan namanya kata bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih jadi apabila anda ditanya kenapa air terjun di bandung ini dinamai curug bugbrug maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuktumpuk dan jatuhnya tersebut terdengar suara di dasar curug seperti  brugbrugbrug  begitu saking kerasnya curug yang berada di ketinggian 1050 meter di atas permukaan air laut memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung bandung
8,Curug Cilengkrang,"Curug Cilengkrang bisa menjadi pilihan tujuan objek wisata alam di Bandung. Menawarkan area hutan sejuk serta area air terjun yang menyegarkan. Meski tidak besar, kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan. Seolah bertolak belakang dari hingar bingar kota Bandung. Curug Cilengkrang menawarkan wisata alam yang tenang dan begitu hijau. Air terjun yang mempesona, serta hutan dengan pepohonan yang begitu asri. Dimana, tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga.",Cagar Alam,Bandung,"Rp7,500",4.0,cagar alam curug cilengkrang bisa menjadi pilihan tujuan objek wisata alam di bandung menawarkan area hutan sejuk serta area air terjun yang menyegarkan meski tidak besar kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan seolah bertolak belakang dari hingar bingar kota bandung curug cilengkrang menawarkan wisata alam yang tenang dan begitu hijau air terjun yang mempesona serta hutan dengan pepohonan yang begitu asri dimana tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga bandung
9,Curug Cimahi,"Curug Cimahi adalah air terjun yang terletak di Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat. Dengan ketinggian sekitar 87 meter, menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah Bandung dan sekitarnya. Nama Cimahi berasal dari nama sungai yang mengalir di atasnya yaitu Sungai Cimahi yang berhulu di Situ (danau) Lembang dan mengalir ke Kota Cimahi. Destinasi wisata ini berjarak kurang lebih 10 kilometer dari Kota Cimahi ke arah Lembang atau 20 kilometer dari Kota Bandung.",Cagar Alam,Bandung,"Rp20,000",4.1,cagar alam curug cimahi adalah air terjun yang terletak di jalan kolonel masturi desa kertawangi kecamatan cisarua kabupaten bandung barat jawa barat dengan ketinggian sekitar 87 meter menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah bandung dan sekitarnya nama cimahi berasal dari nama sungai yang mengalir di atasnya yaitu sungai cimahi yang berhulu di situ danau lembang dan mengalir ke kota cimahi destinasi wisata ini berjarak kurang lebih 10 kilometer dari kota cimahi ke arah lembang atau 20 kilometer dari kota bandung bandung
10,Curug Cipanas,"Siapa bilang berendam air panas harus merogoh kocek dalam? Kabupaten Bandung Barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal. Adalah Curug Cipanas Nagrak, objek wisata alam yang menawarkan pemandian air panas alami. Pemandian air panas ini bahkan tidak hanya sekadar kolam, melainkan berupa air terjun alami di tengah kawasan perkebunan. Mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau. Pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka.",Cagar Alam,Bandung,"Rp25,000",4.0,cagar alam siapa bilang berendam air panas harus merogoh kocek dalam kabupaten bandung barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal adalah curug cipanas nagrak objek wisata alam yang menawarkan pemandian air panas alami pemandian air panas ini bahkan tidak hanya sekadar kolam melainkan berupa air terjun alami di tengah kawasan perkebunan mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka bandung
